timestamp,station,value
2025-06-02 13:49:09,SPO-PT03071_00010_100,0.036181360483169556
2025-06-02 13:49:09,SP_08169009_6_48,
2025-06-02 13:49:09,SP_08301004_6_48,
2025-06-02 13:49:09,SP_08089005_6_48,
2025-06-02 13:49:09,SP_15030027_6_48,0.03685714676976204
2025-06-02 13:49:09,SPO-PT03082_00010_100,0.03658922761678696
2025-06-02 13:49:09,SP_30016020_6_48,0.029402803629636765
2025-06-02 13:54:09,GB_SamplingPoint_61573,0.0344063900411129
2025-06-02 13:54:09,GB_SamplingPoint_127,0.034240491688251495
2025-06-02 13:54:09,GB_SamplingPoint_107,0.036626845598220825
2025-06-02 13:54:09,GB_SamplingPoint_205,0.03044736199080944
2025-06-02 13:54:09,GB_SamplingPoint_112,0.038412097841501236
2025-06-02 13:54:09,SPO-FR04055_10,
2025-06-03 00:19:09,SPO-EE0018A_00010_100,
2025-06-03 00:24:09,SPO-DK0045A_00010_100,
2025-06-03 01:59:09,SPO-EE0018A_00010_100,
2025-06-03 02:04:09,GB_SamplingPoint_205,
2025-06-03 02:04:09,SPO-DK0045A_00010_100,
2025-06-03 02:04:09,SPO-LU0101A_00010_100,
2025-06-03 02:04:09,GB_SamplingPoint_61573,
2025-06-03 02:04:09,GB_SamplingPoint_107,
2025-06-03 02:04:09,SPO-FR04055_10,
2025-06-03 02:04:09,GB_SamplingPoint_127,
2025-06-03 02:04:09,GB_SamplingPoint_112,
2025-06-03 03:44:09,GB_SamplingPoint_61573,
2025-06-03 03:44:09,GB_SamplingPoint_107,
2025-06-03 03:44:09,GB_SamplingPoint_205,
2025-06-03 03:44:09,GB_SamplingPoint_112,
2025-06-03 10:14:09,SPO-EE0018A_00010_100,0.030321858823299408
2025-06-03 11:49:09,SP_08169009_6_48,
2025-06-03 11:49:09,SP_08019054_6_48,
2025-06-03 11:49:09,SP_08019057_6_48,
2025-06-03 11:49:09,SPO-CH0010A_00010_500,0.03131779655814171
2025-06-03 11:49:09,SPO-GR0031A_00010_131,0.036812931299209595
2025-06-03 11:49:09,SPO-CH0005A_00010_502,0.033388901501894
2025-06-03 11:49:09,SP_08301004_6_48,
2025-06-03 11:49:09,SPO-FR03043_10,0.030633771792054176
